Temperature,Year,Month,Country,Country_Code
-5.45 (C) 26.55 (F),2012,Jan,United States,USA
Temperature,Year,Month,Country,Country_Code
21.37 (C) 53.37 (F),2012,Jul,United States,USA
Temperature,Year,Month,Country,Country_Code
-5.45 (C) 26.55 (F),2012,Jan,United States,USA
Temperature,Year,Month,Country,Country_Code
21.37 (C) 53.37 (F),2012,Jul,United States,USA
Temperature,Year,Month,Country,Country_Code
-5.45(C) 26.55 (F), 2012, Jan, United States, USA
Temperature,Year,Month,Country,Country_Code
21.37(C) 53.37 (F), 2012, Jul, United States, USA
